locality_it,locality_printed,skeleton,circoscrizione_it,circoscrizione_kind,circoscrizione_ar,shabiya_ar,shabiya_en,shabiya_pcode,shabiya_matched_level,tav_xx_page,appendix_page,circoscrizione_printed,mahalla_id,mahalla_ar,match_rule
Sciogràn,Sciogràn,XYKRN,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Homs,,,no mahalla of that sound in the shabiya
er- Ruedàt,Ruedàt (er-),RWDT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,245,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Sciuàiegh,Sciuàiegh,XYWYK,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Homs,,,no mahalla of that sound in the shabiya
Rùes et-Tàbel,Rùes et-Tàbel,RWSTBL,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,61,245,61 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Sci ùeref (esc-),Sci ùeref (esc-),XYWRFX,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
er- Rumìa,Rumìa (er-),RWMY,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,245,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Sci urrùf (esc-),Sci urrùf (esc-),XYWRWFX,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,,245,Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
er- Rumìa,Rumìa (er-),RWMY,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Sèbha (Oasi di),Sèbha (Oasi di)',SBHSYDY,sebha,mudiria,سبها,سبها,Sabha,LY0319,shabiya,,245,Mudiria. di Sèbha,,,no mahalla of that sound in the shabiya
Sebìca,Sebìca,SBYK,agedabia,distretto,أجدابيا,الواحات,Al Wahat,LY0105,asserted,,245,Distretto di Agedàbia,,,no mahalla of that sound in the shabiya
Bir es- Sebìl,Sebìl (Bir es-),BYRSBYL,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,,245,Distretto di Derna,,,no mahalla of that sound in the shabiya
es- Sàba,Sàba (es-),SB,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,245,72 Distretto di Cirene,,,skeleton too short
es- Sèdna,Sèdna (es-),SDN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,skeleton too short
Sabràtha,Sabràtha,SBRT,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,245,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
Sedrùres,Sedrùres,SDRWRS,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,,245,Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Sabrìa (Oasi di es-),Sabrìa (Oasi di es-),SBRYSYDYS,sorman,distretto,صرمان,الزاوية,Zawiya,LY0213,baladiya,56,245,56 Distretto di Sormàn,,,no mahalla of that sound in the shabiya
Uàdi Sèif,Sèif (Uàdi),WDYSYF,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,,245,Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Saghìet Bu Gedìd,Saghìet Bu Gedìd,SKYTBWGDYD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sèil Adìsa,Sèil Adìsa,SYLDYS,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,,245,Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Saghìet Chadràn ~es-),Saghìet Chadràn ~es-),SKYTKDRNS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,245,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Selèd,Selèd,SLD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,,245,Residenza di Tarhùna,,,skeleton too short
Saghìet Crazzàr,Saghìet Crazzàr,SKYTKRZR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,245,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Seliùm,Seliùm,SLYWM,beda littoria,distretto,البيضاء,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,,245,Distretto di Bèda Littòria,,,no mahalla of that sound in the shabiya
Saghìet Daffàn,Saghìet Daffàn,SKYTDFN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,245,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
es- Sèlma,Sèlma (es-),SLM,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,,245,Residenza di el-Gusbàt,,,skeleton too short
Sèmnu,Sèmnu,SMNW,sebha,mudiria,سبها,سبها,Sabha,LY0319,shabiya,76,246,76 MudirÌa· di Sèbha,Sabha-009,سمنو,skeleton and shabiya
Il Tarùt,Il Tarùt,YLTRWT,berghin,mudiria,برقن,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,246,75 Mudirìa di Bèrghin,,,no mahalla of that sound in the shabiya
Sèned Giràd,Sèned Giràd,SNDGRD,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tarùt (Vàdi),Tarùt (Vàdi),TRWTWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sèrdeles,Sèrdeles,SRDLS,gat,mudiria,غات,غات,Ghat,LY0321,shabiya,76,246,76 Mudirla di Gat,,,no mahalla of that sound in the shabiya
Tauòrga,Tauòrga,TWRK,misurata,residenza,مصراتة,مصراته,Misrata,LY0214,shabiya,66,246,66 Residenza di Misurata,,,no mahalla of that sound in the shabiya
Seuèd er-Ras,Seuèd er-Ras,SWDRS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di TarlÌùna,,,no mahalla of that sound in the shabiya
Tauòrga,Tauòrga,TWRK,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di~Tarhùna,,,no mahalla of that sound in the shabiya
Seuèd Mràd,Seuèd Mràd,SWDMRD,el gusbat,residenza,القصبات,المرقب,Murqub,LY0210,asserted,63,246,63 Residenza di el-Gusbàt,,,no mahalla of that sound in the shabiya
Tazèrbo,Tazèrbo,TZRB,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,246,79 Sotto zona militare di el-Giòf,Kufra-006,تازربو,semivowels dropped
es- Sgàif,Sgàif (es-),SKYF,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Tazmeràit,Tazmeràit,TZMRYT,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,246,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
es- Sghi,Sghi (es-),SKY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,skeleton too short
Tebadùt,Tebadùt,TBDWT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Sìdi Shahim,Shahim (Sìdi),SYDYSHYM,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,246,65 Circondario di ZUten,,,no mahalla of that sound in the shabiya
Techertìba,Techertìba,TKRTYB,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,246,77 Mudirìa di Vàdi el-Agiàl,,,no mahalla of that sound in the shabiya
el- Sìghi,Sìghi (el-),LSYKY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Gasr Tectàna,Tectàna (Gasr),KSRTKTN,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,246,72 Distretto ·di Cirene,,,no mahalla of that sound in the shabiya
Sighìn (Vàdi),Sighìn (Vàdi),SYKYNWDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residttnza di Gariàn,,,no mahalla of that sound in the shabiya
Tegassàt,Tegassàt,TKST,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,Jabal al Gharbi-002,تغسات,skeleton and shabiya
es- Simàr,Simàr (es-),SYMR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tegèrhi,Tegèrhi,TGRHY,el gatrun,mudiria,القطرون,مرزق,Murzuq,LY0322,baladiya,78,246,78 Mudiria di el-Gatrùn,Murzuq-016,تجرهي,skeleton and shabiya
Sinàuen,Sinàuen,SYNWN,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,246,59 Residenza di Nalùt,Nalut-023,سيناون,skeleton and shabiya
Gasr Tegrìnna,Tegrìnna (Gasr),KSRTKRYN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Sìra,Sìra,SYR,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,246,71 Distretto di Gèrdes' Gerràri,,,no shabiya
Telìla (et-),Telìla (et-),TLYLT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sirte,Sirte,SYRT,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,246,67 Residenza di Sirte,,,no mahalla of that sound in the shabiya
Tèlla (et-),Tèlla (et-),TLT,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,246,62 Residenza di Homs,,,skeleton too short
es- Slahàt,Slahàt (es-),SLHT,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Tèlla (et-),Tèlla (et-),TLT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63-64 Residenza di Tarhùna,,,skeleton too short
es- Slàlma,Slàlma (es-),SLM,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,59,246,59 Residenza di Gariàn,,,skeleton too short
Tèllet Atì::J,"Tèllet Atì::J,",TLTYG,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Sìdi Slàma,Slàma (Sìdi),SYDYSLM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Temenhìnt,Temenhìnt,TMNHYNT,sebha,mudiria,سبها,سبها,Sabha,LY0319,shabiya,76,246,76 Mudirìa; di Sèbha,Sabha-008,تمنهنت,semivowels dropped
es- Slamà t,Slamà t (es-),SLMT,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,246,61 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Temlusciàt,Temlusciàt,TMLWXYT,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,246,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
es- Slàui,Slàui (es-),SLWY,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,246,69 Residenza di Bengasi,,,no mahalla of that sound in the shabiya
Temzìn,Temzìn,TMZYN,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,246,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
Slònta,Slònta,SLNT,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,246,71 Distretto di Gèrdes Gerràri,,,no shabiya
Tendemmìra,Tendemmìra,TNDMYR,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,246,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
es- Snàm,Snàm (es-),SNM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,skeleton too short
Tenebàt,Tenebàt,TNBT,sabratha,distretto,صبراتة,النقاط الخمس,Nuqat al Khams,LY0215,asserted,55,246,55 Distretto di Sabràtha,,,no mahalla of that sound in the shabiya
es- Snaniin,Snaniin (es-),SNYN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Tengarìr,Tengarìr,TNKRYR,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,246,71 Distretto di Gèrdes Gerràri,,,no shabiya
Sòcna,Sòcna,SKN,hon,mudiria,هون,الجفرة,Jufra,LY0317,asserted,79,246,79 Mudirìa di Hon,,,skeleton too short
Tèrbu,Tèrbu,TRBW,umm el araneb,mudiria,أم الأرانب,مرزق,Murzuq,LY0322,asserted,78,246,78 Mudirìa di Vmm el-Aràneb,,,no mahalla of that sound in the shabiya
Sof Gin,Sof Gin,SFGN,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Suàni eta Terrìa,Terrìa(Suàni eta),SWNYTRY,,,,,,,,70,246,70,,,no shabiya
Solùch,Solùch,SLWK,soluch,residenza,سلوق,بنغازي,Benghazi,LY0103,baladiya,69,246,69 Residenza di Solùch,,,no mahalla of that sound in the shabiya
Bir Terrìna,Terrìna (Bir),BYRTRYN,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,246,56 Distretto di Zanzùr,,,no mahalla of that sound in the shabiya
Gefàra di Sormàn,Sormàn (Gefàra di),GFRDYSRMN,,,,,,,,56,246,56,,,no shabiya
Tesàua,Tesàua,TSW,uadi etba,mudiria,وادي عتبة,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,77,246,77 Mudirìa di Vàdi Ètba,,,skeleton too short
Sormàn (Oasi di),Sormàn (Oasi di),SRMNSYDY,sorman,distretto,صرمان,الزاوية,Zawiya,LY0213,baladiya,55,246,55 Distretto di Sormàn,,,no mahalla of that sound in the shabiya
Tescia,Tescia,TXY,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,62,246,62 Distretto di Mìzda,,,skeleton too short
es- Suaadìa,Suaadìa (es-),SWDY,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Teuchìra,Teuchìra,TWKYR,,,,,,,,70,246,70,,,no shabiya
es- Suàdna,Suàdna (es-),SWDN,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Tfèltfelt (Oasi di),Tfèltfelt (Oasi di),TFLTFLTSYDY,gadames,residenza,غدامس,نالوت,Nalut,LY0209,baladiya,59,246,59 Residenza di Gadàmes,,,no mahalla of that sound in the shabiya
Suàr Snèides,Suàr Snèides,SWRSNYDS,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,246,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Tguf (Vàdi),Tguf (Vàdi),TKWFWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Bir es- Suèda,Suèda (Bir es-),BYRSWD,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Residenza di Gariàn,,,no mahalla of that sound in the shabiya
Tgùtta (Oasi di),Tgùtta (Oasi di),TKWTSYDY,gadames,residenza,غدامس,نالوت,Nalut,LY0209,baladiya,59,246,59 Residenza di Gadàmes,,,no mahalla of that sound in the shabiya
Sùèd el-Gàrbi,Sùèd el-Gàrbi,SWDLKRBY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tighìt,Tighìt,TYKYT,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,58,246,58 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
Suèd Sìdi Amàra,Suèd Sìdi Amàra,SWDSYDYMR,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Timàs,Timàs,TYMS,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Suèd Sugh el-Giùmaa,Suèd Sugh el-Giùmaa,SWDSWKLGWM,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tìna (Oasi di et-),Tìna (Oasi di et-),TYNSYDYT,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,246,56 Distretto di Zanzùr,,,no mahalla of that sound in the shabiya
es- Suegàt,Suegàt (es-),SWKT,mizda,distretto,مزدة,الجبل الغربي,Jabal al Gharbi,LY0216,asserted,62,246,62 Distretto di Mìzda,,,no mahalla of that sound in the shabiya
Tinzègt,Tinzègt,TYNZKT,nalut,residenza,نالوت,نالوت,Nalut,LY0209,shabiya,59,246,59 Residenza di Nalùt,,,no mahalla of that sound in the shabiya
Sugh el-Chmis,Sugh el-Chmis,SWKLKMYS,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,246,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Tirèct,Tirèct,TYRKT,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Sugh el-Chmis (Vàdi),Sugh el-Chmis (Vàdi),SWKLKMYSWDY,homs,residenza,الخمس,المرقب,Murqub,LY0210,baladiya,62,246,62 Residenza di Homs,,,no mahalla of that sound in the shabiya
Tlèla (et-),Tlèla (et-),TLT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,skeleton too short
Sugh el-Giùmaa,Sugh el-Giùmaa,SWKLGWM,sugh el giumaa,residenza,سوق الجمعة,طرابلس,Tripoli,LY0211,baladiya,57,246,57 Residenza di Sugh el-Giùmaa,,,no mahalla of that sound in the shabiya
Tlùntis,Tlùntis,TLWNTYS,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,246,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
Sugh el-Giùmaa,Sugh el-Giùmaa,SWKLGWM,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,246,65 Circondario di ZUten,,,no mahalla of that sound in the shabiya
Tmarmùra Tahuàla,Tmarmùra Tahuàla,TMRMWRTHWL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Suhasciz,Suhasciz,SWHXYZ,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tmèssa,Tmèssa,TMS,umm el araneb,mudiria,أم الأرانب,مرزق,Murzuq,LY0322,asserted,78,246,78 Mudiria di Vmm el-Aràneb,,,skeleton too short
Suleimàn (Vàdi),Suleimàn (Vàdi),SWLYMNWDY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tmèzda,Tmèzda,TMZD,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
es- Sultàn,Sultàn (es-),SWLTN,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,246,67 Residenza di Sirte,,,no mahalla of that sound in the shabiya
Tmìmi,Tmìmi,TMYMY,derna,distretto,درنة,درنة,Derna,LY0101,shabiya,73,246,73 Distretto di Derna,Derna-009,التميمي,article dropped
Màrsa Sùsa,Sùsa (Màrsa),MRSWS,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,72,246,72 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Tmissàn,Tmissàn,TMYSN,edri,mudiria,إدري,وادي الشاطئ,Wadi al Shatii,LY0318,baladiya,75,246,75 Mudirìa di Èdri,Wadi al Shatii-021,تمسان,semivowels dropped
Sùsa (Vàdi),Sùsa (Vàdi),SWSWDY,apollonia,distretto,سوسة,الجبل الأخضر,Jabal al Akhdar,LY0106,asserted,73,246,73 Distretto di Apollònia,,,no mahalla of that sound in the shabiya
Tmùg-het,Tmùg-het,TMWKT,giado,distretto,جادو,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,60 Distretto di Giàdo,,,no mahalla of that sound in the shabiya
Tòbruch,Tòbruch,TBRWK,tobruch,residenza,طبرق,البطنان,Butnan,LY0104,baladiya,74,246,74 Residenza di Tòbruch,,,no mahalla of that sound in the shabiya
Tòcra,Tòcra,TKR,tocra,residenza,توكرة,المرج,Marj,LY0102,baladiya,70,246,70 Residenza di Tòcra,,,skeleton too short
Tolemàide,Tolemàide,TLMYD,tolmeta,distretto,طلميثة,المرج,Marj,LY0102,asserted,70,246,70 Distretto di Tolmèta,,,no mahalla of that sound in the shabiya
Sìdi Tàbet,Tàbet (Sìdi),SYDYTBT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tolmèta,Tolmèta,TLMT,tolmeta,distretto,طلميثة,المرج,Marj,LY0102,asserted,70,246,70 Distretto di Tolmèta,,,no mahalla of that sound in the shabiya
Tacbàl,Tacbàl,TKBL,garian,residenza,غريان,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,60,246,"60 Residenza, di Gariàn",,,no mahalla of that sound in the shabiya
Tràfi (et-),Tràfi (et-),TRFYT,,distretto,,,,,,55,246,"55 Distretto di Sabràth::J,",,,no shabiya
Taduìt el-Àgrem,Taduìt el-Àgrem,TDWYTLKRM,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,246,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Tràghen,Tràghen,TRKN,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,246,'78 Mudirìa di Tràghen,,,no mahalla of that sound in the shabiya
Tag (et-),Tag (et-),TGT,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,246,79 Sotto zona militare di el-Giòf,,,skeleton too short
Trìpolì,Trìpolì,TRYBLY,tripoli,circondario,طرابلس,طرابلس,Tripoli,LY0211,shabiya,56,246,56 Circondario di Trìpoli,,,no mahalla of that sound in the shabiya
Tagarbòst,Tagarbòst,TKRBST,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,246,61 Distretto di Ièfren,,,no mahalla of that sound in the shabiya
Trùna,Trùna,TRWN,,,,,,,,77,246,77 Mudirb di Vàdi,,,no shabiya
el- Agiàl,el- Agiàl,LGL,,,,,,,,,246,,,,no shabiya
Tagiùra,Tagiùra,TGWR,tagiura,distretto,تاجوراء,طرابلس,Tripoli,LY0211,baladiya,58,246,58 Distretto di Tagiùra,,,no mahalla of that sound in the shabiya
Bir Tuàfga,Tuàfga (Bir),BYRTWFK,,,,,,,,64,246,"64 Residenz::J, di T::J,rhùn::J,",,,no shabiya
Sìdi et- Tagi ùri,Tagi ùri (Sìdi et-),SYDYTGWRY,zliten,circondario,زليتن,مصراته,Misrata,LY0214,asserted,65,246,65 Circondario di ZUten,,,no mahalla of that sound in the shabiya
Tuàsc,Tuàsc,TWX,uadi el agial,mudiria,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,246,77 Mudirìa di Vàdi el-Agiàl,,,skeleton too short
Tàgma,Tàgma,TKM,iefren,distretto,يفرن,الجبل الغربي,Jabal al Gharbi,LY0216,baladiya,61,246,61 Distretto di Ièfren,,,skeleton too short
Tuèbia (Oasi di et-),Tuèbia (Oasi di et-),TWBYSYDYT,zanzur,distretto,جنزور,البطنان,Butnan,LY0104,mahalla,56,246,"56 Distretto di Z::J,nzùr",,,no mahalla of that sound in the shabiya
Tàibet el-Èsem,Tàibet el-Èsem,TYBTLSM,gerdes gerrari,distretto,قرضس الجرارى,,,,,71,246,71 Distretto di '. Gèrdes Gerràri,,,no shabiya
Tuèr Ellèl,Tuèr Ellèl,TWRL,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,64,246,"64 Residenza di T::J,rhùna",,,no mahalla of that sound in the shabiya
Tàlgaza,Tàlgaza,TLKZ,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,246,72 Distretto di Ci rene,,,no mahalla of that sound in the shabiya
Tuìla (et-),Tuìla (et-),TWYLT,traghen,mudiria,تراغن,مرزق,Murzuq,LY0322,asserted,78,246,78 Mudiria di Tràghen,,,no mahalla of that sound in the shabiya
Tàlha (et-),Tàlha (et-),TLHT,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,. 63-64 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tuilèt Alì,Tuilèt Alì,TWYLTLY,tarhuna,residenza,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,63 Residenza di Tarhùna,,,no mahalla of that sound in the shabiya
Tallàb (et-),Tallàb (et-),TLBT,el giof,,الجوف,الكفرة,Kufra,LY0107,mahalla,79,246,79 Sotto zona militare di el-Giòf,,,no mahalla of that sound in the shabiya
Tuilèt el-Hàmra,Tuilèt el-Hàmra,TWYLTLHMR,tarhuna,,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,"63 Residenz::J, di Tarhùna",,,no mahalla of that sound in the shabiya
Tàma (et-),Tàma (et-),TMT,bengasi,residenza,بنغازي,بنغازي,Benghazi,LY0103,shabiya,69,246,69 Residenza di Bengasi,,,skeleton too short
Tuilèt Ghneua,Tuilèt Ghneua,TWYLTKNW,tarhuna,,ترهونة,المرقب,Murqub,LY0210,baladiya,63,246,"63 Residenz::J, di Tarhùna",,,no mahalla of that sound in the shabiya
Tàmet (Vàdi),Tàmet (Vàdi),TMTWDY,sirte,residenza,سرت,سرت,Sirte,LY0208,shabiya,67,246,67 Residenza di Sirte,,,no mahalla of that sound in the shabiya
Tuìua,Tuìua,TWYW,uadi el agial,,وادي الأجال,وادي الحياة,Wadi al Hayaa,LY0320,asserted,77,246,"77 Mudirì::J, di Vàdi el-Agiàl",Wadi al Hayaa-006,تويوة,skeleton and shabiya
Tammùdi,Tammùdi,TMWDY,cirene,distretto,شحات,الجبل الأخضر,Jabal al Akhdar,LY0106,baladiya,72,246,72 Distretto di Cirene,,,no mahalla of that sound in the shabiya
