date,year,month,currency_in_circulation,cash_in_vault,deposits_with_central_bank,bank_reserves_total,public_enterprise_demand_deposits,monetary_base
2025-03-31,2025,3,52014.2,1891.2,47184.1,49075.3,1231.1,102320.6
2025-04-30,2025,4,45042.1,5083.7,54650.8,59734.5,1176.4,105953.0
2025-05-31,2025,5,52852.2,1504.7,51964.5,53469.2,1160.3,107481.7
2025-06-30,2025,6,54136.2,1460.0,55988.8,57448.8,1223.8,112808.8
2025-07-31,2025,7,55241.8,2317.9,58929.1,61247.0,952.9,117441.7
2025-08-31,2025,8,53257.6,5464.9,50127.1,55592.0,893.7,109743.3
2025-09-30,2025,9,53650.8,1553.4,62465.9,64019.3,804.4,118474.5
2025-10-31,2025,10,52884.5,665.7,75194.9,75860.6,793.4,129538.5
2025-11-30,2025,11,55293.0,539.2,78353.5,78892.7,750.5,134936.2
2025-12-31,2025,12,59097.8,958.9,76630.1,77589.0,694.1,137380.9
2026-01-31,2026,1,62991.5,840.2,72671.8,73512.0,1074.0,137577.5
2026-02-28,2026,2,66813.3,1406.5,72862.4,74268.9,1090.2,142172.4
2026-03-31,2026,3,70387.5,1425.5,84577.5,86003.0,1058.7,157449.2
2026-04-30,2026,4,73082.9,1065.9,79626.7,80692.6,1051.1,154826.6
